cid,present_locally,pinned,note
QmNQ4GEouxtHXgHu87jDDXc7HpyPHWPvNPSF1Ffiz19Lrb,yes,yes,
QmNQ55YHAvCNQUGjR5xhcvy7nKvtEq1zpoyZTMixYpWkpD,yes,yes,
QmNQ578ntERaueqY4JoVdGMV1n59w5zoU7aK9L3UQTCKx2,yes,yes,
QmNQ5rtxgmgxRZYotPbn5gjRk6jRgvCJ2TxiVnZKG8hixZ,yes,yes,
QmNQ5wKKQPQw6k8bHqT4vyiZYJ1Tz1hwbB5TaxD4cQ6uYH,yes,yes,
QmNQ7Hb6sUgT7aSJJrLzfQkKDDXy1wNZaDjtscMNfz2Eij,yes,yes,
QmNQ7QywTMrpvfEBCzKFov5ZbNQR7eLU4CnzTjMsw28THy,yes,yes,
QmNQ7SamsTHtpoNQGgyeg9fKPA2EwjjQS3QgcqRWUYkVk7,yes,yes,
QmNQ828SxSe1iXhAUtjadZDrW3uFg6oxLMY1ctVPA17daR,yes,yes,
QmNQ9sJeReTEgtRwz9WApPtKkLKzVBCZyyD3Q3LrHxgKSK,yes,yes,
